teks_klaim,is_claim,source,category
"Cancer Care and COVID-19 in Seattle, the First US Epicenter",false,coaid_news,NUTRITION
State Lines Erased for Doctors During COVID-19,false,coaid_news,OTHER
Commentary: What If There Is a Virtual ACC and Nobody Cares?,false,coaid_news,OTHER
NYU Med School Offers Early Graduation for Help With COVID-19,false,coaid_news,OTHER
"Cardiac Injury Common in COVID-19, Predicts Mortality",false,coaid_news,OTHER
Commentary: How to Start Doing Telemedicine Now (In the COVID-19 Crisis),false,coaid_news,OTHER
Scientists Track Genetic Changes of Coronavirus,false,coaid_news,DIAGNOSIS
U.S. Marks Deadliest Day of Coronavirus Crisis,false,coaid_news,DIAGNOSIS
Fauci on Easter Re-Opening: 'Be Very Flexible',false,coaid_news,OTHER
What People With Parkinson's Need to Know About COVID-19,false,coaid_news,OTHER
"COVID-19 Likely Worse for Vapers, Smokers",false,coaid_news,OTHER
How to Weather Social Isolation,false,coaid_news,NUTRITION
Do All Seniors Need Same Coronavirus Precautions?,false,coaid_news,DIAGNOSIS
Couple Donates Flowers as Pandemic Halts Wedding,false,coaid_news,OTHER
FDA Approved Drugs Show Promise Against COVID-19,false,coaid_news,TREATMENT
Florida Students Bring COVID Back from Spring Break,false,coaid_news,OTHER
Potential Coronavirus Drugs Already in Low Supply,false,coaid_news,DIAGNOSIS
U.S. Hospital Beds Were Maxed Out Before Pandemic,false,coaid_news,OTHER
Incomplete State COVID-19 Reports Blur The Picture,false,coaid_news,OTHER
Are Vital Home Health Workers Now A Safety Threat?,false,coaid_news,TREATMENT
Sidewalk Chalk Used to Spread Joy Amid Pandemic,false,coaid_news,OTHER
Could Robots Be Deployed in Battle With COVID-19?,false,coaid_news,OTHER
COVID-19 May Delay Some Cancer Treatments,false,coaid_news,TREATMENT
Lawmakers Reach Deal on Coronavirus Relief Package,false,coaid_news,DIAGNOSIS
COVID-19 Cases in New York Are Surging,false,coaid_news,OTHER
FDA Eases Blood Plasma Treatment Rule for COVID,false,coaid_news,TREATMENT
Medical Glove Makers Working With Half Their Staff,false,coaid_news,OTHER
Amazon Suspends Accounts for Price Gouging,false,coaid_news,OTHER
COVID-19 and Angiotensin Drugs: Help or Harm?,false,coaid_news,TREATMENT
"COVID-19: Mitigating Loneliness, Anxiety in Seniors",false,coaid_news,MENTAL_HEALTH
"Guidance on Cardiac Implications of COVID-19 (ACC, 2020)",false,coaid_news,OTHER
"COVID-19 Daily: Physician Gag Orders, 'Coronavirus Party'",false,coaid_news,DIAGNOSIS
Commentary: Pandemic Foreshadows Crisis in Mental Health Services,false,coaid_news,TREATMENT
Coronavirus: Is It Safe to Get Deliveries?,false,coaid_news,DIAGNOSIS
Social Distancing May Need to Last Months: Study,false,coaid_news,OTHER
A Wuhan Doctor on the Front Lines: 'Fear to the First Degree',false,coaid_news,OTHER
"Managing Children's Fear, Anxiety in the Age of COVID-19",false,coaid_news,MATERNAL_CHILD
Early GI Symptoms in COVID-19 May Indicate Fecal Transmission,false,coaid_news,DIAGNOSIS
Scientists Seek Answers to Hypertension-COVID-19 Link,false,coaid_news,OTHER
COVID-19: Who's Protecting the Protectors?,false,coaid_news,PREVENTION
Lack of Paid Sick Leave a Coronavirus Threat,false,coaid_news,DIAGNOSIS
COVID-19 Symptoms,false,coaid_news,DIAGNOSIS
Some Could Show COVID-19 Symptoms After Quarantine,false,coaid_news,DIAGNOSIS
Spread of Coronavirus Cancels Travel and Events,false,coaid_news,DIAGNOSIS
Commentary: Eyewitness: Shanghai Life in the Shadow of COVID-19,false,coaid_news,OTHER
Endocrine Society Meeting Canceled Because of Novel Coronavirus,false,coaid_news,DIAGNOSIS
ACC Cancels Scientific Sessions Over Novel Coronavirus,false,coaid_news,DIAGNOSIS
European Heart Rhythm Association Cancels March Congress,false,coaid_news,OTHER
More Medical Conferences Fall to Coronavirus,false,coaid_news,DIAGNOSIS
CROI Goes Digital After COVID-19 Cases Rise in Boston,false,coaid_news,OTHER
Risk Factors for Death From COVID-19 Identified,false,coaid_news,NUTRITION
Standard Methods Rid Hospital Rooms of Coronavirus,false,coaid_news,DIAGNOSIS
Hand-Washing to Prevent Coronavirus Spread,false,coaid_news,DIAGNOSIS
Antiviral Drug Combo Ineffective Vs. Coronavirus,false,coaid_news,DIAGNOSIS
Hong Kong Has Spike in Coronavirus Cases,false,coaid_news,DIAGNOSIS
Calming Your Child's Coronavirus Fears,false,coaid_news,DIAGNOSIS
Coronavirus Crisis Should Delay Elective Surgeries,false,coaid_news,DIAGNOSIS
Digestive Symptoms Tied to Worse COVID-19 Outcomes,false,coaid_news,DIAGNOSIS
Funeral Homes Ponder Deaths In The Age Of COVID-19,false,coaid_news,NUTRITION
Man Serenades Seniors During Coronavirus Lockdown,false,coaid_news,DIAGNOSIS
"Record High Flu Hospitalization Rates for Young Kids, Young Adults",false,coaid_news,OTHER
"COVID-19: ACC Cautions on Troponin, Natriuretic Peptide Tests",false,coaid_news,DIAGNOSIS
ID Specialist Diagnosed With COVID-19 in 'Ironic Twist',false,coaid_news,DIAGNOSIS
"COVID-19 Daily: ID Doc Tests Positive, Young Adults Hit Hard",false,coaid_news,DIAGNOSIS
'Larger Than Life' Physician Stephen Schwartz Dies of COVID-19,false,coaid_news,OTHER
20% of US COVID-19 Deaths Were Young Adults,false,coaid_news,NUTRITION
About Half of COVID-19 Cases Show Digestive Signs,false,coaid_news,DIAGNOSIS
New China Report Sets COVID-19 Death Rate at 1.4%,false,coaid_news,NUTRITION
Coronavirus Drives Island City to Shelter in Place,false,coaid_news,DIAGNOSIS
Two Members of Congress Diagnosed With Coronavirus,false,coaid_news,DIAGNOSIS
Stores Offer Special Hours for Seniors,false,coaid_news,OTHER
"Coronavirus Striking Plenty of Young People, Too",false,coaid_news,DIAGNOSIS
Healthy Living at Home to Ward Off Coronavirus,false,coaid_news,DIAGNOSIS
What to Know About Coronavirus If You Have Asthma,false,coaid_news,DIAGNOSIS
Trump Signs Relief Package Into Law,false,coaid_news,DIAGNOSIS
Coronavirus and NSAIDs: What Experts Say,false,coaid_news,DIAGNOSIS
Coronavirus Ravages New Orleans Retirement Home,false,coaid_news,DIAGNOSIS
Medicare Expands Telemedicine During Pandemic,false,coaid_news,OTHER
Small Study Analyzes Italy Coronavirus Deaths,false,coaid_news,DIAGNOSIS
Coronavirus News: Italy Now Leads The World In Coronavirus Deaths,false,coaid_news,DIAGNOSIS
States Tighten Restrictions as Coronavirus Rages,false,coaid_news,DIAGNOSIS
COVID-19 and Kindness is Trending,false,coaid_news,OTHER
"Coronavirus Daily Digest: April 13, 2020",false,coaid_news,DIAGNOSIS
"Coronavirus Daily Digest: April 14, 2020",false,coaid_news,DIAGNOSIS
"Coronavirus Daily Digest: April 15, 2020",false,coaid_news,DIAGNOSIS
"Coronavirus Daily Digest: April 16, 2020",false,coaid_news,DIAGNOSIS
"Coronavirus Daily Digest: March 30, 2020",false,coaid_news,DIAGNOSIS
"Coronavirus Daily Digest: April 10, 2020",false,coaid_news,DIAGNOSIS
"Coronavirus Daily Digest: April 3, 2020",false,coaid_news,DIAGNOSIS
"Coronavirus Daily Digest: April 8, 2020",false,coaid_news,DIAGNOSIS
"Coronavirus Daily Digest: April 7, 2020",false,coaid_news,DIAGNOSIS
"Coronavirus Daily Digest: March 31, 2020",false,coaid_news,DIAGNOSIS
"Coronavirus Daily Digest: March 23, 2020",false,coaid_news,DIAGNOSIS
"Coronavirus Daily Digest: March 24, 2020",false,coaid_news,DIAGNOSIS
"Coronavirus Daily Digest: April 1, 2020",false,coaid_news,DIAGNOSIS
"Coronavirus Daily Digest: March 27, 2020",false,coaid_news,DIAGNOSIS
"Coronavirus Daily Digest: April 6, 2020",false,coaid_news,DIAGNOSIS
"Coronavirus Daily Digest: April 2, 2020",false,coaid_news,DIAGNOSIS
"Coronavirus Daily Digest: March 26, 2020",false,coaid_news,DIAGNOSIS
"Coronavirus Daily Digest: March 25, 2020",false,coaid_news,DIAGNOSIS
"Coronavirus Daily Digest: April 9, 2020",false,coaid_news,DIAGNOSIS
"Coronavirus Daily Digest: March 20, 2020",false,coaid_news,DIAGNOSIS
Coronavirus: Colleges to Empty Dorms for Patients,false,coaid_news,DIAGNOSIS
"Coronavirus Daily Digest: April 17, 2020",false,coaid_news,DIAGNOSIS
First COVID Deaths in the US Mobilized a Dialysis Network,false,coaid_news,NUTRITION
COVID-19: GMC Invites More Doctors Back to Work,false,coaid_news,OTHER
"COVID-19 Daily: Topol Laments Betrayal, HCP Couples Prepare",false,coaid_news,OTHER
"Firings, Furloughs, and Pay Cuts in Advance of COVID-19 Surge",false,coaid_news,OTHER
Acute Stroke Care During COVID-19: AHA's Emergency Strategy,false,coaid_news,OTHER
COMMENTARY: COVID-19 Diary Day 2: Insomnia -- The Mark of Medical Practice,false,coaid_news,MENTAL_HEALTH
Should Docs Stop Providing Routine Care in the Era of COVID-19?,false,coaid_news,OTHER
Doctors Now Can Work Across State Lines in COVID-19 Crisis,false,coaid_news,OTHER
COVID-19 Prompts 'Lifesaving' Policy Change for Opioid Addiction,false,coaid_news,OTHER
"The Science of Handwashing: Rub, Don't Scrub Hands Raw",false,coaid_news,OTHER
Italian Oncologist's Cautionary Advice on COVID-19 for US Centers,false,coaid_news,OTHER
Kaiser's COVID-19 Chief Shares Surge Strategies,false,coaid_news,OTHER
Mexico Confirms Its First Cases of Coronavirus,false,coaid_news,DIAGNOSIS
"COVID-19: Centenarian Survives, High-Risk Blood Types",false,coaid_news,RISK
DIY Masks for COVID-19,false,coaid_news,OTHER
Trending Clinical Topic: Pandemic,false,coaid_news,TREATMENT
COVID-19 and PPE: Some of Us Will Die,false,coaid_news,OTHER
DIY Masks: Worth the Risk? Researchers Are Conflicted,false,coaid_news,RISK
Radiology Must Adapt to New Pandemic,false,coaid_news,OTHER
EMA Says Stay on Angiotensin Drugs During COVID-19 Pandemic,false,coaid_news,TREATMENT
High Anxiety in America Over COVID-19,false,coaid_news,MENTAL_HEALTH
Blood Type May Affect COVID-19 Risk,false,coaid_news,RISK
Canceled Blood Drives Lead to ‘Severe’ Shortage,false,coaid_news,CAUSE
Home Test Kits for COVID-19 May Be Available Soon,false,coaid_news,DIAGNOSIS
Flu Drug Works Vs. Coronavirus: Chinese Study,false,coaid_news,DIAGNOSIS
"New Coronavirus Wasn't Made in a Lab, Genomic Study Shows",false,coaid_news,DIAGNOSIS
Obesity Might Be 'Contagious' Among Teens,false,coaid_news,OTHER
Disruptive School Closings Raise Questions of Equity,false,coaid_news,OTHER
U.S. May Not Have Enough Ventilators for COVID-19,false,coaid_news,OTHER
COVID-19: Could Hydroxychloroquine Really Be the Answer?,false,coaid_news,OTHER
Commentary: Physicians and Health Systems Can Reduce Fear Around COVID-19,false,coaid_news,TREATMENT
Clinicians Petition Government for National Quarantine,false,coaid_news,OTHER
Two Emergency Physicians Remain in Critical Condition From COVID-19,false,coaid_news,DIAGNOSIS
Who's Most at Risk From Coronavirus?,false,coaid_news,DIAGNOSIS
The Most Effective Ways to Kill Coronavirus in Your Home,false,coaid_news,DIAGNOSIS
Mild Cases May Be Driving Coronavirus Spread,false,coaid_news,DIAGNOSIS
Novel Coronavirus: Study Suggests Multiple Shedding Routes,false,coaid_news,DIAGNOSIS
"Novel Coronavirus a 'Tremendous Public Health Threat,' CDC Says",false,coaid_news,DIAGNOSIS
Trending Clinical Topic: COVID-19,false,coaid_news,TREATMENT
Could Climate Change Make Flu Seasons Worse?,false,coaid_news,OTHER
Silent COVID-19 Cases May Stymie Screening Efforts,false,coaid_news,DIAGNOSIS
Have the Public Health Restrictions Gone Too Far for COVID-19?,false,coaid_news,TREATMENT
Doctors Look to Existing Drugs in Coronavirus Fight,false,coaid_news,DIAGNOSIS
"Is It Flu, Or Flu-Like? It's Miserable Either Way",false,coaid_news,OTHER
New Coronavirus May be Cause of Outbreak in China,false,coaid_news,DIAGNOSIS
This Year's Flu Season Taking Deadly Aim at Kids,false,coaid_news,OTHER
First U.S. Case of China Coronavirus Diagnosed,false,coaid_news,DIAGNOSIS
Deadly New Coronavirus Can Spread Between Humans,false,coaid_news,DIAGNOSIS
Could Your Fitbit Help Detect the Flu?,false,coaid_news,DIAGNOSIS
CDC to Screen for Novel Coronavirus at Three US Airports,false,coaid_news,DIAGNOSIS
"Flu Shot No Match for 'B' Strain, Season Rages On",false,coaid_news,OTHER
Coronavirus Rumor Mill Rampant With Bogus News,false,coaid_news,DIAGNOSIS
Man Fights to Get Family Out of China Amid Outbreak,false,coaid_news,OTHER
Coronavirus Is Bad but US Flu's New Numbers Still Far Worse,false,coaid_news,DIAGNOSIS
CDC Confirms Second U.S. Coronavirus Case,false,coaid_news,DIAGNOSIS
Washington Monitors Coronavirus Patient’s Contacts,false,coaid_news,DIAGNOSIS
Coronavirus News: What's Happening with the COVID-19 2020 Outbreak,false,coaid_news,DIAGNOSIS
3 U.S. Airports to Screen for Chinese Coronavirus,false,coaid_news,DIAGNOSIS
Mystery Coronavirus from China: What to Know,false,coaid_news,DIAGNOSIS
Hashtag Medicine: Coronavirus Fear Goes Viral on Social Media,false,coaid_news,DIAGNOSIS
First Spread of Coronavirus in U.S. Confirmed,false,coaid_news,DIAGNOSIS
Commentary: Novel Coronavirus (2019-nCoV): FAQs for Clinicians,false,coaid_news,DIAGNOSIS
Many Child Care Centers Don't Require Flu Shots,false,coaid_news,MATERNAL_CHILD
COVID-19 Forecasts for the United States,false,coaid_news,OTHER
COVID-19 Travel Recommendations by Country,false,coaid_news,OTHER
Coronavirus and Travel in the United States,false,coaid_news,DIAGNOSIS
U.S. Clinical Laboratories Reporting SARS-CoV-2 Test Results to CDC,false,coaid_news,DIAGNOSIS
COVIDView Weekly Summary,false,coaid_news,OTHER
Testing for COVID-19,false,coaid_news,DIAGNOSIS
Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET),false,coaid_news,DIAGNOSIS
COVID-19 Considerations for Cleaner Air Shelters and Cleaner Air Spaces to Protect the Public from Wildfire Smoke,false,coaid_news,PREVENTION
Videos,false,coaid_news,OTHER
Coronavirus Disease 2019 (COVID-19),false,coaid_news,DIAGNOSIS
Resources for Community and Faith-Based Leaders,false,coaid_news,OTHER
Downloadable Videos,false,coaid_news,OTHER
Environmental Health Practitioners,false,coaid_news,TREATMENT
Data Visualization,false,coaid_news,OTHER
Frequently Asked Questions on COVID-19 Testing at Laboratories,false,coaid_news,DIAGNOSIS
Previous COVID-19 Forecasts,false,coaid_news,OTHER
U.S. Outpatient Influenza-like Illness Surveillance Network (ILINet): Overall Percentage of Visits for ILI,false,coaid_news,DIAGNOSIS
NCHS Mortality Surveillance Data,false,coaid_news,OTHER
Emergency Department Visits Percentage of Visits for COVID-19-Like Illness (CLI) or Influenza-like Illness (ILI),false,coaid_news,DIAGNOSIS
Percentage of Visits for ILI by Age Group Reported by A Subset of ILINet Providers,false,coaid_news,OTHER
U.S. State and Local Public Health Laboratories Reporting to CDC,false,coaid_news,TREATMENT
Commercial Labs,false,coaid_news,OTHER
Responder Stories,false,coaid_news,OTHER
CDC shares 9 tons of protective gear with responders,false,coaid_news,PREVENTION
Operational Considerations for Personal Protective Equipment in the Context of Global Supply Shortages for Coronavirus Disease 2019 (COVID-19) Pandemic: non-US Healthcare Settings,false,coaid_news,DIAGNOSIS
Communication Resources for Travelers,false,coaid_news,OTHER
Ten Clinical Tips on COVID-19 for Healthcare Providers Involved in Patient Care,false,coaid_news,TREATMENT
First Responders and Law Enforcement,false,coaid_news,OTHER
Transportation and Delivery,false,coaid_news,OTHER
Communication Resources,false,coaid_news,OTHER
Contact Tracing,false,coaid_news,OTHER
Cases & Latest Updates,false,coaid_news,DIAGNOSIS
Strategies for Optimizing the Supply of Disposable Medical Gloves,false,coaid_news,OTHER
If You Have Pets,false,coaid_news,OTHER
Animals and Coronavirus Disease 2019 (COVID-19),false,coaid_news,DIAGNOSIS
Resources for Correctional and Detention Facilities,false,coaid_news,OTHER
What School Nutrition Professionals and Volunteers at Schools Need to Know about COVID-19,false,coaid_news,NUTRITION
Testing for Coronavirus (COVID-19) in Nursing Homes,false,coaid_news,DIAGNOSIS
Responding to Coronavirus (COVID-19) in Nursing Homes,false,coaid_news,DIAGNOSIS
Clinical Care Guidance for Healthcare Professionals about Coronavirus (COVID-19),false,coaid_news,DIAGNOSIS
COVID-19 By the Numbers,false,coaid_news,OTHER
Decontamination and Reuse of Filtering Facepiece Respirators using Contingency and Crisis Capacity Strategies,false,coaid_news,OTHER
Mitigate Healthcare Personnel Staffing Shortages,false,coaid_news,TREATMENT
Criteria for Return to Work for Healthcare Personnel with Confirmed or Suspected COVID-19 (Interim Guidance),false,coaid_news,TREATMENT
Social Media Toolkit,false,coaid_news,OTHER
"""Reopening Guidance for Cleaning and Disinfecting Public Spaces, Workplaces, Businesses, Schools, and Homes""",false,coaid_news,OTHER
Contact Tracing : Part of a Multipronged Approach to Fight the COVID-19 Pandemic,false,coaid_news,OTHER
Caring for someone at home,false,coaid_news,OTHER
"""Interim Guidelines for Collecting, Handling, and Testing Clinical Specimens from Persons for Coronavirus Disease 2019 (COVID-19)""",false,coaid_news,DIAGNOSIS
Communication Toolkit for Airlines to inform Travelers and Crew,false,coaid_news,OTHER
Healthcare Provider and Facility Guidance for Non-US Settings,false,coaid_news,TREATMENT
Cases in U.S.,false,coaid_news,OTHER
People Who Need to Take Extra Precautions,false,coaid_news,OTHER
Communication Toolkit for Transportation Partners to Inform Road Travelers,false,coaid_news,OTHER
Care for Breastfeeding Women,false,coaid_news,MATERNAL_CHILD
Key Resources,false,coaid_news,OTHER
COVID-19 Serology Surveillance Strategy,false,coaid_news,OTHER
Additional Training Objectives,false,coaid_news,OTHER
COVID-19 Contact Tracing Training Guidance and Resources,false,coaid_news,OTHER
Identify Strategies to Reduce Spread of COVID-19,false,coaid_news,OTHER
Children and Coronavirus Disease 2019 (COVID-19): Tips to keep children healthy while school’s out,false,coaid_news,DIAGNOSIS
"""Support for States, Tribes, Localities and Territories""",false,coaid_news,OTHER
Testing,false,coaid_news,DIAGNOSIS
What To Do if You Are Sick,false,coaid_news,OTHER
Environmental Cleaning and Disinfection Recommendations,false,coaid_news,DIAGNOSIS
Cleaning and Disinfecting Your Facility,false,coaid_news,OTHER
Guidance for U.S. Healthcare Facilities about Coronavirus (COVID-19),false,coaid_news,DIAGNOSIS
Frequently Asked Questions and Answers: Coronavirus Disease-2019 (COVID-19) and Children,false,coaid_news,DIAGNOSIS
Test for Current Infection,false,coaid_news,DIAGNOSIS
Antibody Testing,false,coaid_news,DIAGNOSIS
"""COVID-19 Staffing Guidance for State, Tribal, Local, and Territorial Health Departments""",false,coaid_news,TREATMENT
Global COVID-19,false,coaid_news,OTHER
Symptoms,false,coaid_news,DIAGNOSIS
Living in Shared Housing,false,coaid_news,OTHER
Travel: Frequently Asked Questions and Answers,false,coaid_news,OTHER
Key Strategies to Prepare for COVID-19 in Long-term Care Facilities (LTCFs),false,coaid_news,OTHER
Laboratory Capacity,false,coaid_news,OTHER
Dental Settings,false,coaid_news,OTHER
FAQs for Law Enforcement Agencies and Personnel,false,coaid_news,OTHER
Global case numbers are reported by the World Health Organization (WHO),false,coaid_news,TREATMENT
Evaluating and Reporting Persons Under Investigation (PUI),false,coaid_news,OTHER
Meat and Poultry Processing Workers and Employers,false,coaid_news,NUTRITION
Information for Clinicians on Therapeutic Options for COVID-19 Patients,false,coaid_news,TREATMENT
COVID-19 Guidance for Shared or Congregate Housing,false,coaid_news,OTHER
Cases & Deaths by County,false,coaid_news,NUTRITION
Public Service Announcements (PSAs),false,coaid_news,OTHER
COVID-19 Buttons and Badges,false,coaid_news,OTHER
How to Protect Yourself,false,coaid_news,PREVENTION
COVIDView Summary ending on April 18,false,coaid_news,OTHER
Coronavirus Disease 2019 Information for Travel (New Travel Alerts),false,coaid_news,DIAGNOSIS
CDC in Action,false,coaid_news,OTHER
Elastomeric Respirators: Strategies During Conventional and Surge Demand Situations,false,coaid_news,OTHER
COVID-19 Infection Prevention and Control in Healthcare Settings: Questions and Answers,false,coaid_news,PREVENTION
Resources for State,false,coaid_news,OTHER
Interim Guidance for Public Health Professionals Managing People With COVID-19 in Home Care and Isolation Who Have Pets or Other Animals,false,coaid_news,TREATMENT
Resources for Hospitals and Healthcare Professionals Preparing for Patients with Suspected or Confirmed COVID-19,false,coaid_news,TREATMENT
Financial Resources,false,coaid_news,OTHER
Water Transmission and COVID-19,false,coaid_news,OTHER
Information for Healthcare Professionals,false,coaid_news,TREATMENT
Preguntas frecuentes relativas a la prevención y el control de infecciones asociadas a la atención médica para el COVID-19,false,coaid_news,OTHER
Assessing Risk Factors for Severe COVID-19 Illness,false,coaid_news,DIAGNOSIS
Interim Guidance for Reopening Employers with Vulnerable Workers,false,coaid_news,OTHER
Confirmation of COVID-19 in Two Pet Cats in New York,false,coaid_news,OTHER
Management of Visitors to Healthcare Facilities in the Context of COVID-19: Non-US Healthcare Settings,false,coaid_news,TREATMENT
Information for Healthcare Providers: COVID-19 and Pregnant Women,false,coaid_news,TREATMENT
Strategies for Optimizing Supply of N95 Respirators,false,coaid_news,OTHER
Strategies for Optimizing the Supply of PPE,false,coaid_news,OTHER
Interim guidance for homeless service providers to plan and respond to coronavirus disease 2019 (COVID-19),false,coaid_news,DIAGNOSIS
Assessing & Managing Risk Based on Different Exposures to COVID-19,false,coaid_news,RISK
Interim Operational Considerations for Public Health Management of Healthcare Workers Exposed to or Infected with COVID-19: non-US Healthcare Settings,false,coaid_news,TREATMENT
Other At-Risk Populations,false,coaid_news,RISK
COVID-19 in Racial and Ethnic Minority Groups,false,coaid_news,OTHER
Healthcare Supply of Personal Protective Equipment,false,coaid_news,PREVENTION
Guidance for Building Water Systems,false,coaid_news,OTHER
CDC’s role in helping cruise ship travelers during the COVID-19 pandemic,false,coaid_news,OTHER
People Experiencing Homelessness,false,coaid_news,OTHER
Homelessness and COVID-19 FAQs,false,coaid_news,OTHER
Guía para las instituciones de educación superior,false,coaid_news,OTHER
Institutes of Higher Education Checklist,false,coaid_news,OTHER
COVID-19Surge,false,coaid_news,OTHER
Screening clients for respiratory infection symptoms at entry to homeless shelters,false,coaid_news,DIAGNOSIS
For Child Care Programs That Remain Open,false,coaid_news,MATERNAL_CHILD
Infection Prevention and Control in Diverse Settings,false,coaid_news,PREVENTION
Interim Guidance for Implementing Safety Practices for Critical Infrastructure Workers Who May Have Had Exposure to a Person with Suspected or Confirmed COVID-19,false,coaid_news,OTHER
General Business Frequently Asked Questions,false,coaid_news,OTHER
Situation Summary,false,coaid_news,OTHER
Considerations for Optimizing the Supply of Powered Air-Purifying Respirators (PAPRs),false,coaid_news,OTHER
Interim Guidance on Management of Coronavirus Disease 2019 (COVID-19) in Correctional and Detention Facilities,false,coaid_news,DIAGNOSIS
Households Living in Close Quarters,false,coaid_news,OTHER
"""CDC Response Corps to Support State, Tribal, Local, and Territorial Health Departments""",false,coaid_news,TREATMENT
Information for Pediatric Healthcare Providers,false,coaid_news,TREATMENT
Serology Testing for COVID-19,false,coaid_news,DIAGNOSIS
Surveillance and Data Analytics,false,coaid_news,OTHER
Staffing Resources,false,coaid_news,OTHER
Community Mitigation,false,coaid_news,OTHER
Communication Materials,false,coaid_news,OTHER
Considerations for Providing Hemodialysis to Patients with Suspected or Confirmed COVID-19 in Acute Care Settings,false,coaid_news,OTHER
Groups at Higher Risk for Severe Illness,false,coaid_news,RISK
"""National Syndromic Surveillance Program (NSSP): Emergency Department Visits Percentage of Visits for COVID-19-Like Illness (CLI) or Influenza-like Illness (ILI) September 29, 2019 - April 4, 2020 Data as of April 9, 2020""",false,coaid_news,DIAGNOSIS
Considerations for Pharmacies during the COVID-19 Pandemic,false,coaid_news,OTHER
Healthcare Professionals: Frequently Asked Questions and Answers,false,coaid_news,TREATMENT
Stress and Coping,false,coaid_news,MENTAL_HEALTH
Checklist for Healthcare Facilities: Strategies for Optimizing the Supply of N95 Respirators during the COVID-19 Response,false,coaid_news,TREATMENT
Travelers from Countries with Widespread Sustained (Ongoing) Transmission Arriving in the United States,false,coaid_news,OTHER
Training for Healthcare Professionals,false,coaid_news,TREATMENT
Considerations When Preparing for COVID-19 in Assisted Living Facilities,false,coaid_news,OTHER
If You Are Sick,false,coaid_news,OTHER
"""Communities, Schools, and Workplaces""",false,coaid_news,OTHER
Standard Operating Procedure (SOP) for Triage of Suspected COIVD-19 Patients in non-US Healthcare Settings,false,coaid_news,TREATMENT
Guidance for the Identification of Healthcare Workers and Inpatients with Suspected COVID-19 in non-US Healthcare Settings,false,coaid_news,TREATMENT
People Who are at Higher Risk,false,coaid_news,RISK
Information for Laboratories,false,coaid_news,OTHER
Public Health Communicators: Get Your Community Ready,false,coaid_news,TREATMENT
Evaluation for SARS-CoV-2 Testing in Animals,false,coaid_news,DIAGNOSIS
Laboratory Work,false,coaid_news,OTHER
Tribal Communities,false,coaid_news,OTHER
Print Resources,false,coaid_news,OTHER
Cleaning and Disinfection for Non-emergency Transport Vehicles,false,coaid_news,DIAGNOSIS
What You Can Do,false,coaid_news,OTHER
Use of Cloth Face Coverings to Help Slow the Spread of COVID-19,false,coaid_news,OTHER
How Coronavirus Spreads,false,coaid_news,DIAGNOSIS
Social Distancing for Tribal Communities with Local COVID-19 Transmission,false,coaid_news,OTHER
Interim Clinical Guidance for Management of Patients with Confirmed Coronavirus Disease (COVID-19),false,coaid_news,DIAGNOSIS
Frequently Asked Questions: Funeral and Burial Services for American Indians and Alaska Natives,false,coaid_news,OTHER
Interim Guidance for Conserving and Extending Filtering Facepiece Respirator Supply in Non-Healthcare Sectors,false,coaid_news,TREATMENT
COVID-19 and Cooling Centers,false,coaid_news,OTHER
Resources for Parks and Recreational Facilities,false,coaid_news,NUTRITION
What Bus Transit Operators Need to Know About COVID-19,false,coaid_news,OTHER
What Transit Maintenance Workers Need to Know About COVID-19,false,coaid_news,OTHER
Interim Considerations for Infection Prevention and Control of Coronavirus Disease 2019 (COVID-19) in Inpatient Obstetric Healthcare Settings,false,coaid_news,DIAGNOSIS
FAQs for Correctional and Detention Facilities,false,coaid_news,OTHER
Preventing the Spread of COVID-19 in Retirement Communities and Independent Living Facilities (Interim Guidance),false,coaid_news,PREVENTION
Resources for Businesses and Employers,false,coaid_news,OTHER
Interim Guidance for Administrators of US K-12 Schools and Childcare Programs,false,coaid_news,MATERNAL_CHILD
Running Essential Errands,false,coaid_news,OTHER
Discontinuation of Home Isolation for Persons with COVID-19 (Interim Guidance),false,coaid_news,OTHER
"""U.S. Outpatient Influenza-like Illness Surveillance Network (ILINet): Percentage of Visits for ILI by Age Group Reported by A Subset of ILINet Providers September 29, 2019 - April 4, 2020 Data as of April 9, 2020""",false,coaid_news,DIAGNOSIS
Interim Guidance for Public Health Personnel Evaluating Persons Under Investigation (PUIs) and Asymptomatic Close Contacts of Confirmed Cases at Their Home or Non-Home Residential Settings,false,coaid_news,DIAGNOSIS
Protect Yourself and Others from COVID-19 When Visiting Parks and Recreational Facilities,false,coaid_news,PREVENTION
Guidance for Administrators in Parks and Recreational Facilities,false,coaid_news,NUTRITION
What Rail Transit Operators Need to Know About COVID-19,false,coaid_news,OTHER
CDC Announces Modifications and Extension of No Sail Order for All Cruise Ships,false,coaid_news,OTHER
Disinfecting your home if someone is sick,false,coaid_news,OTHER
Guidance Documents,false,coaid_news,OTHER
FAQs for Administrators and Leaders at Community- and Faith-Based Organizations,false,coaid_news,OTHER
Interim Guidance for Businesses and Employers,false,coaid_news,OTHER
How to Prepare,false,coaid_news,OTHER
Personal Protective Equipment (PPE) Burn Rate Calculator,false,coaid_news,PREVENTION
Older Adults,false,coaid_news,OTHER
Snapshot of CDC Guidance for Homeless and Meal Service Providers for Emergency and Day Shelters,false,coaid_news,OTHER
